ReportNumber,VehicleCrashKey,DriverAtFault,DriverInjurySeverity,DriverSubstanceAbuse,DriverDistractedBy,VehicleType,VehicleMovement,VehicleGoingDir,VehicleDamageExtent,SpeedLimit,ParkedVehicle,SubstanceAbuseContributed,VehiclesCrashedTotal,VehicleKey,LocalCaseNumber,AgencyName,ACRSReportType,HitRun,LaneDirection,LaneNumber,NumberOfLanes,RoadGrade,NonTraffic,OffRoadIncident,AccidentAtFault,CollisionType,SurfaceCondition,Light,TrafficControl,Junction,IntersectionType,RoadAlignment,RoadCondition,RoadDivision,Latitude,Longitude,RoadKey,CrossStreetKey,NonMotoristTotal,NonMotoristInjury,NonMotoristFatal,DateHourKey,LocationAreaKey
MCP3352001C,FA82BB84A7FC467B9ADECBB86EDE4A35,True,NO APPARENT INJURY,NONE,INATTENTIVE OR LOST IN THOUGHT,PASSENGER,SLOWING OR STOPPING,West,DISABLING,35,False,False,2,7318984751414214,230069660,Montgomery County Police,Property Damage ,False,West,1,1,HILL UPHILL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.149425,-77.24189333,278210474574513,2679960287167179,0,0,0,2023120317,7724972439113159
MCP2159001J,CDD381C604864E95917FE8B55F68D3BC,True,NO APPARENT INJURY,NONE,OTHER ELECTRONIC DEVICE (NAVIGATIONAL PALM PILOT),PASSENGER,SLOWING OR STOPPING,South,FUNCTIONAL,40,False,False,2,869295622334414,230069664,Montgomery County Police,Injury ,False,South,2,2,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK NO LIGHTS,TRAFFIC SIGNAL,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.1836865,-77.25610883,3202275317843380,8760747166704389,0,0,0,2023120318,7729807639132189
MCP2159001J,E27B246677804FE8A073789495558C07,False,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,FUNCTIONAL,40,False,False,2,840047580126723,230069664,Montgomery County Police,Injury ,False,South,2,2,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK NO LIGHTS,TRAFFIC SIGNAL,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.1836865,-77.25610883,3202275317843380,8760747166704389,0,0,0,2023120318,7729807639132189
MCP2291007B,406F4728C9A54B46A620CA0FA4868640,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,35,False,False,2,7871367620570760,230069673,Montgomery County Police,Injury ,False,West,2,3,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.9927365,-77.161812,1363718650800826,776419263324954,0,0,0,2023120318,7715220038996189
MCP2291007B,88366A6379CB444CA11A6FADE5FD14FE,True,POSSIBLE INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING LEFT TURN,East,DISABLING,35,False,False,2,3097115212987824,230069673,Montgomery County Police,Injury ,False,West,2,3,LEVEL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.9927365,-77.161812,1363718650800826,776419263324954,0,0,0,2023120318,7715220038996189
MCP3163006C,3F6D0CEFBE6540F2AEF4F081EDAA4B86,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,South,FUNCTIONAL,35,False,False,3,7364392823565693,230069672,Montgomery County Police,Property Damage ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.024664,-77.10325217,5925405510732472,5080022737134299,0,0,0,2023120318,7712482939051552
MCP3163006C,53474A40DBAF43EEACB1DCB4AFBFDB05,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,South,DISABLING,35,False,False,3,2134147885411607,230069672,Montgomery County Police,Property Damage ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.024664,-77.10325217,5925405510732472,5080022737134299,0,0,0,2023120318,7712482939051552
MCP3163006C,3B97B8A7A10F4508A31441CA1BDF9317,True,NO APPARENT INJURY,UNKNOWN,LOOKED BUT DID NOT SEE,PASSENGER,ACCELERATING,South,DISABLING,35,False,False,3,9956296866319522,230069672,Montgomery County Police,Property Damage ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.024664,-77.10325217,5925405510732472,5080022737134299,0,0,0,2023120318,7712482939051552
MCP2674004L,6668837E095C4B18A103B48441F47F5E,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,DISABLING,40,False,False,2,751452855482432,230069674,Montgomery County Police,Property Damage ,False,South,1,3,LEVEL,False,False,UNKNOWN,HEAD ON LEFT TURN,WET,DARK NO LIGHTS,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.198321,-77.24498583,4972572914805173,697993049681148,0,0,0,2023120319,7723271939208770
MCP2674004L,6A4199B2EBB947F39110096C1BEF3436,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING LEFT TURN,North,DISABLING,40,False,False,2,7004010053981027,230069674,Montgomery County Police,Property Damage ,False,South,1,3,LEVEL,False,False,UNKNOWN,HEAD ON LEFT TURN,WET,DARK NO LIGHTS,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,UNKNOWN,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.198321,-77.24498583,4972572914805173,697993049681148,0,0,0,2023120319,7723271939208770
DM8494003L,C35356FB5CED48CBBEE77FF5D3EF5A5C,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,East,FUNCTIONAL,25,False,False,4,8963456883476220,230069675,Takoma Park Police Depart,Property Damage ,False,East,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99021417,-76.99013983,5005946941929880,8859724431699981,0,0,0,2023120319,7700204038982546
DM8494003L,2E3C25B7EB274796A5A1411B34328B0B,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,PASSENGER,STARTING FROM PARKED,East,FUNCTIONAL,25,False,False,4,5592258896182192,230069675,Takoma Park Police Depart,Property Damage ,False,East,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99021417,-76.99013983,5005946941929880,8859724431699981,0,0,0,2023120319,7700204038982546
DM8494003L,3000044B92BD4AF0A3CFEA9473D7E626,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,East,DISABLING,25,False,False,4,1032942915110160,230069675,Takoma Park Police Depart,Property Damage ,False,East,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99021417,-76.99013983,5005946941929880,8859724431699981,0,0,0,2023120319,7700204038982546
DM8494003L,56D2454CF30941C286A0274940465C84,False,NO APPARENT INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,PARKED,UNKNOWN,FUNCTIONAL,5,True,False,4,1032942965443017,230069675,Takoma Park Police Depart,Property Damage ,False,East,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99021417,-76.99013983,5005946941929880,8859724431699981,0,0,0,2023120319,7700204038982546
MCP219800F1,933DD80072634AC28AD339AD43D1B8AF,False,SUSPECTED MINOR INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,ACCELERATING,South,DESTROYED,40,False,False,2,8012572012375466,230069679,Montgomery County Police,Injury ,False,North,1,3,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11751333,-77.18332333,1611524329361443,8337261265550886,0,0,0,2023120319,7718114539090864
MCP219800F1,196F887752E9485BBEFEEEDFE588E4D4,True,NO APPARENT INJURY,UNKNOWN,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,East,FUNCTIONAL,40,False,False,2,6326503024871312,230069679,Montgomery County Police,Injury ,False,North,1,3,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11751333,-77.18332333,1611524329361443,8337261265550886,0,0,0,2023120319,7718114539090864
MCP23450011,10F0C3AF65774400B4D9DB146C1FA56F,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,UNKNOWN,South,DISABLING,30,False,False,1,9565688990121032,230069667,Montgomery County Police,Property Damage ,False,South,1,1,GRADE DOWNHILL,False,False,DRIVER,SINGLE VEHICLE,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.06375333,-77.23017667,5386409165832801,5521372579232793,0,0,0,2023120319,7722348939035838
MCP3221002M,F93FF13CCF694BEC9D94BB848573B317,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING RIGHT TURN,West,FUNCTIONAL,40,False,False,1,1312161960173140,230069693,Montgomery County Police,Property Damage ,False,East,0,1,HILL UPHILL,False,False,DRIVER,SINGLE VEHICLE,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05581167,-77.15058167,2286014561620445,9223427877673206,0,0,0,2023120322,7712482939051552
MCP32080050,DCB9A23A65EB4C70B55A215D0669C46B,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,BUS,MOVING CONSTANT SPEED,North,SUPERFICIAL,30,False,False,2,4960220375123743,230069696,Montgomery County Police,Property Damage ,False,North,2,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.99927983,-77.031487,8554262040045692,8356792977061148,0,0,0,2023120322,7703596439001907
MCP32080050,412E1440AC0B4625B53105C704EA8F73,True,NO APPARENT INJURY,ALCOHOL,OTHER CELLULAR PHONE RELATED,PASSENGER,MOVING CONSTANT SPEED,North,SUPERFICIAL,30,False,False,2,660615385035114,230069696,Montgomery County Police,Property Damage ,False,North,2,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.99927983,-77.031487,8554262040045692,8356792977061148,0,0,0,2023120322,7703596439001907
MCP30610029,33D3661EE9E044509396BA8D047BE6A3,True,NO APPARENT INJURY,ALCOHOL,NOT DISTRACTED,PASSENGER,OTHER,South,SUPERFICIAL,15,False,True,1,9284201061250917,230069704,Montgomery County Police,Property Damage ,True,South,0,0,LEVEL,False,False,DRIVER,OTHER,DRY,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,UNKNOWN,39.15552167,-77.2734775,3723891163962668,7771692879388507,0,0,0,2023120323,7729807639132189
MCP3209004J,7FF8E74E3CE345E49569D4343B82EA74,False,SUSPECTED MINOR INJURY,ALCOHOL,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,South,DESTROYED,35,False,False,2,8801447980012806,230069702,Montgomery County Police,Injury ,False,North,1,1,HILL CREST,False,False,UNKNOWN,HEAD ON,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0724075,-76.959981,2808299851855837,6551404590603140,0,0,0,2023120400,7698062539067210
MCP3209004J,196F02CBEDE04434B9AFD59D133EF06A,False,SUSPECTED MINOR INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,North,DESTROYED,35,False,False,2,9242760632388261,230069702,Montgomery County Police,Injury ,False,North,1,1,HILL CREST,False,False,UNKNOWN,HEAD ON,WET,DARK LIGHTS ON,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0724075,-76.959981,2808299851855837,6551404590603140,0,0,0,2023120400,7698062539067210
MCP2799007J,E105365812DE4C70B745EBF58D2FA244,True,NO APPARENT INJURY,ALCOHOL,UNKNOWN,PASSENGER,CHANGING LANES,South,SUPERFICIAL,35,False,False,2,7004010137869122,230067185,Montgomery County Police,Property Damage ,False,South,3,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.05729654,-77.05001853,8554262040045692,8073720238398338,0,0,0,2023120401,7704240439043964
MCP2799007J,56A24672337B4FDE9E2E4F39B755F431,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,SUPERFICIAL,35,False,False,2,7379790505713931,230067185,Montgomery County Police,Property Damage ,False,South,3,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.05729654,-77.05001853,8554262040045692,8073720238398338,0,0,0,2023120401,7704240439043964
MCP31620052,EC4E0E7382CB4569B8AC9878C15D89F0,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,FUNCTIONAL,35,False,False,2,9088251225273189,230069722,Montgomery County Police,Property Damage ,False,South,3,3,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,NON INTERSECTION,UNKNOWN,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.99850667,-77.039725,118399697147806,6006877850173336,0,0,0,2023120407,7703596439001907
MCP31620052,2E1D0F4E7B9845AD9D7024C925642505,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,FUNCTIONAL,35,False,False,2,6502835390564725,230069722,Montgomery County Police,Property Damage ,False,South,3,3,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,NON INTERSECTION,UNKNOWN,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.99850667,-77.039725,118399697147806,6006877850173336,0,0,0,2023120407,7703596439001907
MCP2516004L,BB0A0243604E4445A6F8C2125541AED0,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,OTHER,SLOWING OR STOPPING,East,NO DAMAGE,25,False,False,2,240722642832247,230069724,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.17240231,-77.26415547,756079554807696,2901022015657694,0,0,0,2023120407,7729807639132189
MCP2516004L,7978E3E03BA847038FE3957613F3B176,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,SLOWING OR STOPPING,East,SUPERFICIAL,25,False,False,2,3706795429459167,230069724,Montgomery County Police,Property Damage ,False,West,1,1,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,NO CONTROLS,NON INTERSECTION,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.17240231,-77.26415547,756079554807696,2901022015657694,0,0,0,2023120407,7729807639132189
MCP3268003G,DFD6EAF2709C49659A7B412D1B087994,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,BUS,MOVING CONSTANT SPEED,West,SUPERFICIAL,15,False,False,2,6691677547236723,230069727,Montgomery County Police,Property Damage ,False,South,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.05543767,-76.99488233,8901981419077344,5070630466800991,0,0,0,2023120408,7698062539067210
MCP3268003G,FB0E4006A2474974AEDE13191C4211B8,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,CHANGING LANES,West,SUPERFICIAL,15,False,False,2,170151789765393,230069727,Montgomery County Police,Property Damage ,False,South,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.05543767,-76.99488233,8901981419077344,5070630466800991,0,0,0,2023120408,7698062539067210
EJ7887003D,4FE2B10FAE50489DB788FC5339C0A5E3,False,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MAKING RIGHT TURN,North,FUNCTIONAL,30,False,False,2,8118991385548737,230069743,Gaithersburg Police Depar,Property Damage ,False,North,0,4,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,SHOULDER DEFECT,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.13753023,-77.19340322,6273686865093515,1765867284751009,0,0,0,2023120409,7718751639140820
EJ7887003D,910A953946F14C2BBA72756C2BEB7BF7,True,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MAKING RIGHT TURN,North,FUNCTIONAL,30,False,False,2,8123008695663851,230069743,Gaithersburg Police Depar,Property Damage ,False,North,0,4,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,SHOULDER DEFECT,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.13753023,-77.19340322,6273686865093515,1765867284751009,0,0,0,2023120409,7718751639140820
MCP24560084,0EE9BC2D894F474EA9275771007A8285,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,CHANGING LANES,South,SUPERFICIAL,35,False,False,2,2365566944593744,230069744,Montgomery County Police,Property Damage ,False,South,3,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01167536,-76.97898841,8901981419077344,7259754787171885,0,0,0,2023120409,7698354239018293
MCP24560084,CA144DCAAEFC41E39AD24EE1CB036D56,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,South,SUPERFICIAL,35,False,False,2,9886165052701561,230069744,Montgomery County Police,Property Damage ,False,South,3,3,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01167536,-76.97898841,8901981419077344,7259754787171885,0,0,0,2023120409,7698354239018293
DD5567001P,7CA5628D7F874053A1ACFA90EC9D9D01,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,SUPERFICIAL,30,False,False,2,3777471195858314,230069754,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08174382,-77.14852701,4286605995040271,6693060343323049,0,0,0,2023120410,7718114539090864
DD5567001P,A6D24BF111B6445E884EB4C77B77DF7F,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MOVING CONSTANT SPEED,West,NO DAMAGE,30,False,False,2,5355145305271733,230069754,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,SAME DIRECTION SIDESWIPE,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08174382,-77.14852701,4286605995040271,6693060343323049,0,0,0,2023120410,7718114539090864
MCP31290088,D2425F0B489B426785A12BD67AA23155,True,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,STARTING FROM LANE,East,FUNCTIONAL,25,False,False,2,9353817294345432,230069773,Montgomery County Police,Property Damage ,False,North,0,1,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,NO CONTROLS,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07272833,-77.08693583,4005500860300433,7723349871961125,0,0,0,2023120411,7709494939102237
MCP31290088,D62DCFB8C43D45078BD2106067BB55E3,False,NO APPARENT INJURY,NONE,LOOKED BUT DID NOT SEE,PASSENGER,MOVING CONSTANT SPEED,North,FUNCTIONAL,25,False,False,2,6801964070250583,230069773,Montgomery County Police,Property Damage ,False,North,0,1,HILL UPHILL,False,False,DRIVER,STRAIGHT MOVEMENT ANGLE,DRY,DAYLIGHT,NO CONTROLS,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07272833,-77.08693583,4005500860300433,7723349871961125,0,0,0,2023120411,7709494939102237
DD5567001Q,E41BE9680BE841009973F83CC576C6DF,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,MOVING CONSTANT SPEED,West,DISABLING,40,False,False,2,6801964070250583,230069778,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10004689,-77.18189369,5498064292481371,4491958856630653,0,0,0,2023120411,7718114539090864
DD5567001Q,73A553567AEE406D92101C2135E2E0A3,True,NO APPARENT INJURY,NONE,UNKNOWN,PASSENGER,MAKING LEFT TURN,East,DISABLING,40,False,False,2,9248617190270104,230069778,Rockville Police Departme,Property Damage ,False,West,1,2,LEVEL,False,False,DRIVER,HEAD ON LEFT TURN,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10004689,-77.18189369,5498064292481371,4491958856630653,0,0,0,2023120411,7718114539090864
MCP3123006N,D50F80D40933489398E3191892E3693A,True,POSSIBLE INJURY,UNKNOWN,LOOKED BUT DID NOT SEE,PASSENGER,SLOWING OR STOPPING,South,DISABLING,55,False,False,2,2823522094493027,230069784,Montgomery County Police,Injury ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10491517,-76.9330545,2620072274155517,5009223039224662,1,1,0,2023120411,7693347839109025
MCP3123006N,F8863B7AFFB84A4085D92929F6BE3E19,False,POSSIBLE INJURY,UNKNOWN,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,South,DISABLING,55,False,False,2,2827757403842555,230069784,Montgomery County Police,Injury ,False,South,2,3,LEVEL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,TRAFFIC SIGNAL,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10491517,-76.9330545,2620072274155517,5009223039224662,1,1,0,2023120411,7693347839109025
MCP15630092,66183DDB31BD4A6896F196ED8F179472,False,NO APPARENT INJURY,NONE,NOT DISTRACTED,PASSENGER,STOPPED IN TRAFFIC LANE,South,FUNCTIONAL,35,False,False,2,2134147717635417,230069786,Montgomery County Police,Property Damage ,True,South,2,3,GRADE DOWNHILL,False,False,DRIVER,SAME DIR REAR END,DRY,DAYLIGHT,UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.99919333,-77.03988167,118399697147806,8356792977061148,0,0,0,2023120412,7703596439001907
